clique_id,numero_nodi,amicizie_mancanti,simmetrie_mancanti,massimo_score_interessi,count_score_massimi 
5946a576f810d56922436390,9,2,10,421,11
5946a57cf810d56922437050,8,0,12,40,1
5946a582f810d5692243802c,8,0,15,20,2
5946a582f810d56922438126,8,0,8,53,1
5946a562f810d56922433679,8,0,11,11,2
5946a576f810d56922436258,10,0,13,475,8
5946a576f810d5692243625b,10,0,11,492,10
5946a576f810d5692243625c,10,0,6,493,9
5946a576f810d5692243625d,10,0,6,547,8
5946a576f810d56922436260,10,0,17,475,10
5946a576f810d56922436262,10,0,12,522,8
5946a576f810d5692243626d,10,0,10,500,10
5946a576f810d5692243626f,10,0,13,494,10
5946a576f810d56922436271,11,0,7,604,10
5946a576f810d56922436276,12,0,9,663,10
5946a576f810d56922436277,11,0,15,596,10
5946a576f810d56922436279,11,0,8,631,10
5946a576f810d5692243627a,9,0,3,542,12
5946a576f810d5692243627c,8,0,3,418,9
5946a576f810d569224362aa,10,0,5,540,9
5946a576f810d569224362b5,10,0,2,608,9
5946a576f810d569224362bb,10,0,2,614,9
5946a576f810d569224362be,9,0,7,526,9
5946a576f810d569224362bf,9,0,6,546,9
5946a576f810d569224362ca,10,0,3,587,10
5946a576f810d569224362cb,10,0,3,584,8
5946a576f810d569224362cd,14,0,3,789,8
5946a576f810d569224362ce,10,0,4,594,8
5946a576f810d569224362cf,11,0,2,628,8
5946a576f810d569224362d0,11,0,1,679,6
5946a576f810d569224362d2,13,0,3,773,7
5946a576f810d569224362d4,12,0,11,693,7
5946a576f810d569224362d6,12,0,11,714,8
5946a576f810d569224362d9,12,0,6,789,7
5946a576f810d569224362da,12,0,5,810,7
5946a576f810d569224362dd,11,0,12,717,7
5946a576f810d569224362de,11,0,11,737,8
5946a576f810d569224362df,9,0,1,567,9
5946a576f810d569224362e0,11,0,2,685,7
5946a576f810d569224362e1,12,0,2,752,9
5946a576f810d569224362eb,10,0,2,642,10
5946a576f810d569224362ec,10,0,1,686,8
5946a576f810d569224362ed,9,0,1,569,10
