clique_id,Amicizie mancanti, Simmetrie mancanti 
5946a589f810d5692243a6ea,0.0,13
5946a58df810d5692243bb39,0.0,10
5946a58df810d5692243bb50,0.0,10
5946a591f810d5692243c992,0.0,12
5946a591f810d5692243c9b4,0.0,9
5946a591f810d5692243c9b6,0.0,12
5946a591f810d5692243c9b7,0.0,10
5946a591f810d5692243c9bb,0.0,13
5946a591f810d5692243c9bc,0.0,13
5946a592f810d5692243c9e8,0.0,12
5946a592f810d5692243ca0f,0.0,9
5946a593f810d5692243cb7a,0.0,2
5946a593f810d5692243cb7b,0.0,0
5946a593f810d5692243cb7c,0.0,3
5946a594f810d5692243cbaf,0.0,10
5946a594f810d5692243cbb0,0.0,9
5946a597f810d5692243d245,0.0,9
5946a598f810d5692243d33b,0.0,1
5946a598f810d5692243d33c,0.0,0
5946a598f810d5692243d33d,0.0,1
5946a598f810d5692243d33e,0.0,1
5946a59bf810d5692243d529,0.0,3
5946a59bf810d5692243d52a,0.0,1
5946a59ef810d5692243d7ea,0.0,6
5946a59ef810d5692243d7eb,0.0,7
5946a59ef810d5692243d7f0,0.0,4
5946a59ef810d5692243d7f1,0.0,4
5946a59ef810d5692243d822,0.0,12
5946a5a5f810d5692243ddf8,0.0,5
5946a5a5f810d5692243ddf9,0.0,7
5946a5a5f810d5692243de18,0.0,5
5946a5a6f810d5692243e0e4,0.0,11
5946a5a7f810d5692243e0fc,0.0,1
5946a5a7f810d5692243e0fe,0.0,1
5946a5a7f810d5692243e124,0.0,8
5946a5a7f810d5692243e176,0.0,0
5946a5a7f810d5692243e177,0.0,1
5946a5a7f810d5692243e191,0.0,9
5946a5a7f810d5692243e193,0.0,11
5946a5a7f810d5692243e1a0,0.0,3
5946a5a7f810d5692243e1a3,0.0,0
5946a5a7f810d5692243e1b3,0.0,7
5946a5a7f810d5692243e1b4,0.0,13
5946a5a7f810d5692243e1b5,0.0,12
5946a5a7f810d5692243e1b6,0.0,9
5946a5a7f810d5692243e1ba,0.0,1
5946a5a7f810d5692243e1c1,0.0,11
5946a5a7f810d5692243e1c2,0.0,10
5946a5a7f810d5692243e1c3,0.0,11
5946a5a7f810d5692243e1c4,0.0,10
5946a5a7f810d5692243e1c7,0.0,10
5946a5a7f810d5692243e1c8,0.0,10
5946a5a7f810d5692243e2d3,0.0,8
5946a5a7f810d5692243e2d4,0.0,10
5946a5a7f810d5692243e2d6,0.0,11
5946a5a7f810d5692243e2d7,0.0,12
5946a5a7f810d5692243e2d8,0.0,12
5946a5a7f810d5692243e2d9,0.0,13
5946a5a7f810d5692243e2da,0.0,15
5946a5a7f810d5692243e2db,0.0,14
5946a5a7f810d5692243e2dc,0.0,12
5946a5a7f810d5692243e2dd,0.0,11
5946a5a7f810d5692243e2de,0.0,10
5946a5a7f810d5692243e2df,0.0,11
5946a5a7f810d5692243e2e0,0.0,10
5946a5a7f810d5692243e2e7,0.0,7
5946a5a7f810d5692243e2fd,0.0,3
5946a5a7f810d5692243e2fe,0.0,3
5946a5a7f810d5692243e2ff,0.0,5
5946a5a7f810d5692243e300,0.0,2
5946a5a7f810d5692243e301,0.0,4
5946a5a7f810d5692243e302,0.0,4
5946a5a7f810d5692243e304,0.0,2
5946a5a7f810d5692243e305,0.0,2
5946a5a7f810d5692243e306,0.0,4
5946a5a7f810d5692243e307,0.0,5
5946a5a7f810d5692243e308,0.0,4
5946a5a7f810d5692243e309,0.0,1
5946a5a7f810d5692243e30b,0.0,3
5946a5a7f810d5692243e30c,0.0,3
5946a5a7f810d5692243e30d,0.0,3
5946a5a7f810d5692243e312,0.0,0
5946a5a7f810d5692243e313,0.0,2
5946a5a7f810d5692243e314,0.0,1
5946a5a7f810d5692243e316,0.0,1
5946a5a7f810d5692243e317,0.0,1
5946a5a7f810d5692243e31c,0.0,1
5946a5a7f810d5692243e321,0.0,1
5946a5a7f810d5692243e326,0.0,3
5946a5a7f810d5692243e327,0.0,3
5946a5a7f810d5692243e328,0.0,6
5946a5a7f810d5692243e329,0.0,2
5946a5a7f810d5692243e32a,0.0,4
5946a5a7f810d5692243e32b,0.0,4
5946a5a7f810d5692243e337,0.0,7
5946a5a7f810d5692243e338,0.0,5
5946a5a7f810d5692243e33a,0.0,1
5946a5a7f810d5692243e33d,0.0,3
5946a5a7f810d5692243e343,0.0,11
5946a5a7f810d5692243e344,0.0,11
5946a5a7f810d5692243e345,0.0,10
5946a5a7f810d5692243e346,0.0,9
5946a5a7f810d5692243e34b,0.0,1
5946a5a7f810d5692243e356,0.0,3
5946a5a7f810d5692243e357,0.0,1
5946a5a7f810d5692243e35b,0.0,1
5946a5a7f810d5692243e35c,0.0,8
5946a5a7f810d5692243e35d,0.0,7
5946a5a7f810d5692243e361,0.0,6
5946a5a7f810d5692243e362,0.0,8
5946a5a7f810d5692243e363,0.0,8
5946a5a7f810d5692243e364,0.0,9
5946a5a7f810d5692243e365,0.0,10
5946a5a7f810d5692243e366,0.0,8
5946a5a7f810d5692243e367,0.0,7
5946a5a7f810d5692243e368,0.0,6
5946a5a7f810d5692243e369,0.0,6
5946a5a7f810d5692243e36a,0.0,6
5946a5a7f810d5692243e36b,0.0,6
5946a5a7f810d5692243e371,0.0,0
5946a5a7f810d5692243e372,0.0,1
5946a5a7f810d5692243e376,0.0,3
5946a5a7f810d5692243e378,0.0,5
5946a5a7f810d5692243e37b,0.0,2
5946a5a7f810d5692243e37c,0.0,2
5946a5a7f810d5692243e37d,0.0,4
5946a5a7f810d5692243e37e,0.0,1
5946a5a7f810d5692243e380,0.0,3
5946a5a7f810d5692243e381,0.0,3
5946a5a7f810d5692243e382,0.0,5
5946a5a7f810d5692243e383,0.0,7
