clique_id, presenze massime_count, numero_nodi,Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5946a7b8f810d569224954b0,15,8,7,7,7,7,"0,875","0,875","0,875","0,875"
5946acb8f810d5692250efc6,9,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aee8f810d56922548698,11,10,10,10,10,10,1,1,1,1
5946abb8f810d5692250555a,17,9,9,7,7,7,1,"0,7777777778","0,7777777778","0,7777777778"
5946a8f5f810d569224bd317,18,11,11,11,11,11,1,1,1,1
5946abb8f810d569225051ff,12,8,8,8,8,8,1,1,1,1
5946a5f2f810d569224499e5,21,8,8,8,8,8,1,1,1,1
5946a5f3f810d5692244af77,12,10,10,9,9,9,1,"0,9","0,9","0,9"
5946b008f810d5692255b825,11,10,10,8,8,8,1,"0,8","0,8","0,8"
5946ae29f810d56922539c76,11,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946b1e7f810d569225693d8,8,10,10,8,8,7,1,"0,8","0,8","0,7"
5946aef0f810d5692254fa37,17,8,8,8,8,8,1,1,1,1
5946a8f4f810d569224bc29d,14,11,11,11,10,10,1,1,"0,9090909091","0,9090909091"
5946a8faf810d569224c1ff7,15,12,12,11,10,10,1,"0,9166666667","0,8333333333","0,8333333333"
5946aef1f810d56922550788,10,9,9,9,9,9,1,1,1,1
5946a5f4f810d5692244b34e,16,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946abdef810d5692250713e,18,8,8,8,8,8,1,1,1,1
5946ad0ff810d569225216ec,11,9,9,9,9,9,1,1,1,1
5946b009f810d5692255b987,13,9,9,9,9,9,1,1,1,1
5946acfef810d56922513954,11,9,9,9,9,9,1,1,1,1
5946aab5f810d569224f5da5,6,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8fbf810d569224c2492,17,12,12,12,11,11,1,1,"0,9166666667","0,9166666667"
5946ad4ef810d569225276ca,18,10,10,10,10,10,1,1,1,1
5946b008f810d5692255b65b,11,8,7,6,6,6,"0,875","0,75","0,75","0,75"
5946a775f810d5692248dbdd,11,10,10,10,10,10,1,1,1,1
5946a8fef810d569224c5158,8,10,10,10,10,10,1,1,1,1
5946b2adf810d5692256bf1d,25,8,8,7,6,6,1,"0,875","0,75","0,75"
5946a5f3f810d5692244afc6,17,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8f2f810d569224ba5ee,12,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a7a2f810d569224906d2,1,8,8,5,5,3,1,"0,625","0,625","0,375"
5946a8faf810d569224c1778,17,10,10,9,9,9,1,"0,9","0,9","0,9"
5946aee8f810d5692254826d,13,10,10,10,10,10,1,1,1,1
5946a8f7f810d569224be7b8,15,8,8,7,7,7,1,"0,875","0,875","0,875"
5946ad04f810d56922517f4b,12,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a5f3f810d5692244a7bd,15,8,8,8,8,8,1,1,1,1
5946a7b8f810d5692249501c,16,10,9,9,9,8,"0,9","0,9","0,9","0,8"
5946a5f3f810d5692244aad9,16,8,8,7,7,7,1,"0,875","0,875","0,875"
