com_id, Nodi, Conteggio, NumeroClique, intrusi, Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5a2abc5b5b73222015f8f072,20,9,23,1,19,17,17,17,"0,95","0,85","0,85","0,85"
5a2abc605b73222015f8f0c4,20,9,16,0,20,20,20,20,1,1,1,1
5a29dc0d5b73222015f76f27,20,10,13,0,20,19,19,19,1,"0,95","0,95","0,95"
5a2abac55b73222015f8e1d7,20,12,26,1,19,18,17,17,"0,95","0,9","0,85","0,85"
5a2a82535b73222015f8605a,19,1,12,0,19,17,16,16,1,"0,8947368421","0,8421052632","0,8421052632"
5a29e0cd5b73222015f78089,19,5,10,0,19,18,18,18,1,"0,9473684211","0,9473684211","0,9473684211"
5a2a4a6e5b73222015f8317b,19,5,13,0,19,18,17,17,1,"0,9473684211","0,8947368421","0,8947368421"
5a2a99805b73222015f86f97,19,6,24,1,18,16,16,16,"0,9473684211","0,8421052632","0,8421052632","0,8421052632"
5a2ab39b5b73222015f8b060,19,6,20,0,19,16,15,15,1,"0,8421052632","0,7894736842","0,7894736842"
5a2abae75b73222015f8e392,19,6,16,0,19,18,17,17,1,"0,9473684211","0,8947368421","0,8947368421"
5a2ab9145b73222015f8ce61,19,7,9,0,19,17,17,17,1,"0,8947368421","0,8947368421","0,8947368421"
5a2ab9945b73222015f8d500,19,7,14,0,19,17,15,15,1,"0,8947368421","0,7894736842","0,7894736842"
5a2abc7d5b73222015f8f2bc,19,7,16,0,19,17,17,17,1,"0,8947368421","0,8947368421","0,8947368421"
5a2abc835b73222015f8f35c,19,7,15,1,18,18,18,18,"0,9473684211","0,9473684211","0,9473684211","0,9473684211"
5a29cc705b73222015f71b8a,19,8,10,0,19,18,18,18,1,"0,9473684211","0,9473684211","0,9473684211"
5a2ab4a15b73222015f8b7cf,19,8,13,0,19,17,17,17,1,"0,8947368421","0,8947368421","0,8947368421"
5a2abbaf5b73222015f8ea06,19,8,14,0,19,19,19,19,1,1,1,1
5a29d1cd5b73222015f7466a,19,9,12,0,19,17,17,16,1,"0,8947368421","0,8947368421","0,8421052632"
5a2a51bd5b73222015f83a7e,19,9,14,0,19,19,19,18,1,1,1,"0,9473684211"
5a2abb9c5b73222015f8e921,19,9,15,0,19,19,19,19,1,1,1,1
5a2abc155b73222015f8edb9,19,9,15,0,19,18,18,18,1,"0,9473684211","0,9473684211","0,9473684211"
5a2abd325b73222015f8f712,19,9,18,1,18,16,15,15,"0,9473684211","0,8421052632","0,7894736842","0,7894736842"
5a2abd325b73222015f8f72a,19,9,8,0,19,19,19,19,1,1,1,1
5a29ef725b73222015f7aa1e,19,10,11,0,19,18,18,18,1,"0,9473684211","0,9473684211","0,9473684211"
5a2abb0a5b73222015f8e5b2,19,10,17,0,19,18,18,18,1,"0,9473684211","0,9473684211","0,9473684211"
5a2abb695b73222015f8e759,19,10,10,0,19,17,17,17,1,"0,8947368421","0,8947368421","0,8947368421"
5a2a6ef85b73222015f8538e,19,11,15,0,19,19,18,18,1,1,"0,9473684211","0,9473684211"
5a2abe9c5b73222015f8fea3,19,13,15,0,19,18,18,18,1,"0,9473684211","0,9473684211","0,9473684211"
5a2abdfc5b73222015f8fa2c,19,15,9,0,19,17,16,16,1,"0,8947368421","0,8421052632","0,8421052632"
5a2aba995b73222015f8dfb9,18,4,13,0,18,18,17,17,1,1,"0,9444444444","0,9444444444"
5a2ab4fe5b73222015f8ba6e,18,5,9,0,18,16,15,14,1,"0,8888888889","0,8333333333","0,7777777778"
5a2abd9f5b73222015f8f916,18,5,17,0,18,17,17,17,1,"0,9444444444","0,9444444444","0,9444444444"
5a2abb0b5b73222015f8e5c8,18,6,17,0,18,15,15,15,1,"0,8333333333","0,8333333333","0,8333333333"
5a29e32c5b73222015f787e2,18,7,13,0,18,17,17,16,1,"0,9444444444","0,9444444444","0,8888888889"
5a2a1d3f5b73222015f7f090,18,7,15,0,18,17,17,17,1,"0,9444444444","0,9444444444","0,9444444444"
5a2a932d5b73222015f86afb,18,7,16,0,18,16,16,16,1,"0,8888888889","0,8888888889","0,8888888889"
5a2ab5165b73222015f8bba6,18,7,14,0,18,16,16,16,1,"0,8888888889","0,8888888889","0,8888888889"
5a2abb095b73222015f8e599,18,7,18,0,18,14,14,14,1,"0,7777777778","0,7777777778","0,7777777778"
5a2abd605b73222015f8f85f,18,7,14,0,18,16,16,16,1,"0,8888888889","0,8888888889","0,8888888889"
5a2ab2fa5b73222015f8aaaf,18,8,11,0,18,17,17,17,1,"0,9444444444","0,9444444444","0,9444444444"
5a2abc295b73222015f8ee6d,18,8,11,0,18,16,16,16,1,"0,8888888889","0,8888888889","0,8888888889"
5a2abc5d5b73222015f8f092,18,8,16,0,18,17,17,17,1,"0,9444444444","0,9444444444","0,9444444444"
5a2ab30a5b73222015f8aba2,18,9,10,0,18,16,15,15,1,"0,8888888889","0,8333333333","0,8333333333"
5a2abc765b73222015f8f218,18,9,14,0,18,18,18,18,1,1,1,1
5a2abae75b73222015f8e383,18,10,17,0,18,18,18,18,1,1,1,1
5a29df515b73222015f77a92,18,11,10,0,18,18,18,18,1,1,1,1
5a2ab9f85b73222015f8d88e,18,11,15,0,18,18,17,17,1,1,"0,9444444444","0,9444444444"
