clique_id, Community, percentuale si 
5946aef2f810d56922550aff,si,100
5946a761f810d5692248c63a,si,93.33333333333333
5946a5f3f810d5692244aff8,si,94.0
5946a611f810d5692244e122,no,46.060475965597675
5946b086f810d56922560636,no,45.84403039539776
5946a7a3f810d56922490cc5,no,40.87257974498777
5946a762f810d5692248cd4d,si,94.0
5946a791f810d5692248eb8b,si,95.0
5946a6c7f810d5692246f2b5,si,100
5946a5a7f810d5692243e30c,no,45.84403039539776
5946b00af810d5692255cddf,si,100
5946a8fef810d569224c4bb2,si,100
5946a6c4f810d5692246e967,no,46.23363242175761
5946a6c4f810d5692246eb21,no,46.23363242175761
5946a5f4f810d5692244b270,no,45.84403039539776
5946a6c7f810d5692246f272,si,100
5946a954f810d569224d225b,si,100
5946a906f810d569224c7978,no,46.23363242175761
5946a6e6f810d56922473f35,si,92.5
5946a607f810d5692244d2d7,si,94.54545454545455
5946a5f3f810d5692244aa69,si,93.33333333333333
5946a8fff810d569224c652c,no,46.23363242175761
5946b1e6f810d56922568f94,si,92.5
5946a7b8f810d569224954b0,si,92.5
5946a7a2f810d56922490150,no,40.87257974498777
5946acb8f810d5692250efc6,si,93.33333333333333
5946aee8f810d56922548698,si,100
5946abb8f810d5692250555a,no,46.060475965597675
5946a8f5f810d569224bd317,si,100
5946a5a7f810d5692243e346,no,40.93075172798695
5946abb8f810d569225051ff,si,100
5946a5f2f810d569224499e5,si,100
5946a5f3f810d5692244af77,si,94.0
5946b008f810d5692255b825,no,46.23363242175761
5946ae29f810d56922539c76,si,94.54545454545455
5946b009f810d5692255b949,si,100
5946b1e7f810d569225693d8,no,40.9772893143863
5946aef0f810d5692254fa37,si,100
5946a8f4f810d569224bc29d,si,94.54545454545455
5946a8faf810d569224c1ff7,no,46.493367105997514
5946a5b3f810d569224400c5,no,40.523547846992656
5946a8e0f810d569224b70f9,si,100
5946aef1f810d56922550788,si,100
5946a5f4f810d5692244b34e,si,93.33333333333333
5946a6c4f810d5692246e8d0,no,45.84403039539776
5946abdef810d5692250713e,si,100
5946ad0ff810d569225216ec,si,100
5946b009f810d5692255b987,si,100
5946acfef810d56922513954,si,100
5946aab5f810d569224f5da5,si,93.33333333333333
5946a8fbf810d569224c2492,si,95.0
5946ad4ef810d569225276ca,si,100
5946b008f810d5692255b65b,no,7.08403039539776
5946a775f810d5692248dbdd,si,100
5946a8fef810d569224c5158,si,100
5946a5f2f810d56922449983,si,93.33333333333333
5946a6c4f810d5692246e833,no,46.23363242175761
5946a6c4f810d5692246e84f,no,40.9772893143863
5946a6daf810d56922473329,si,94.0
5946b2adf810d5692256bf1d,no,45.84403039539776
5946abb7f810d569225044c8,si,92.5
5946a5f3f810d5692244afc6,si,93.33333333333333
5946a8f2f810d569224ba5ee,si,95.0
5946a7a2f810d569224906d2,no,40.523547846992656
5946a8faf810d569224c1778,si,94.0
5946a5a7f810d5692243e3d3,si,94.54545454545455
5946a5f4f810d5692244b577,no,46.23363242175761
5946aee8f810d5692254826d,si,100
