clique_id, presenze massime_count, numero_nodi, intrusi ,Soglia 1,Soglia 2,Soglia 3,Soglia 4,fr1,fr2,fr3,fr4
5946a5f3f810d5692244afc7,16,9,0,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946ad06f810d56922519ee5,13,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a8faf810d569224c18f1,13,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946a8fdf810d569224c3d24,17,12,0,12,11,10,10,1,"0,9166666667","0,8333333333","0,8333333333"
5946a6d4f810d56922471fa4,20,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a797f810d5692248ef93,13,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a7a3f810d5692249112e,1,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946ad02f810d56922516ff7,17,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946b008f810d5692255b67d,22,9,1,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946af55f810d56922555378,10,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8fbf810d569224c20b8,13,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a57cf810d56922437084,4,8,0,8,6,6,6,1,"0,75","0,75","0,75"
5946a7a3f810d5692249154a,1,8,0,7,6,6,5,"0,875","0,75","0,75","0,625"
5946a74af810d56922486d03,1,8,0,7,4,4,4,"0,875","0,5","0,5","0,5"
5946ac43f810d5692250b1d3,1,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946aa4ef810d569224efa6a,1,8,0,8,6,6,4,1,"0,75","0,75","0,5"
5946a67bf810d56922461367,3,8,0,8,6,6,6,1,"0,75","0,75","0,75"
5946a7a3f810d569224915e3,2,8,0,7,6,6,5,"0,875","0,75","0,75","0,625"
5946b09af810d56922561cc5,12,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946ab35f810d569224fc1e9,1,8,0,8,7,5,5,1,"0,875","0,625","0,625"
5946a7a2f810d56922490a48,1,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946ae28f810d5692253897a,11,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946a8fdf810d569224c42b3,12,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946ac43f810d5692250b262,2,8,0,7,6,5,4,"0,875","0,75","0,625","0,5"
5946ac43f810d5692250b1c3,1,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946a7a2f810d569224905ab,1,9,0,9,7,7,5,1,"0,7777777778","0,7777777778","0,5555555556"
5946aeeaf810d56922549cb9,8,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946abdff810d5692250769d,12,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5b3f810d569224403ba,2,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946aa00f810d569224e1d94,2,8,0,7,6,6,5,"0,875","0,75","0,75","0,625"
5946a8f1f810d569224b9805,20,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
