clique_id,numero_nodi,amicizie_mancanti,simmetrie_mancanti
5946a5a7f810d5692243e1c1,9,0.0,11
5946a5a7f810d5692243e1c2,9,0.0,10
5946a5a7f810d5692243e1c3,9,0.0,11
5946a5a7f810d5692243e1c4,9,0.0,10
5946a5a7f810d5692243e1c7,9,0.0,10
5946a5a7f810d5692243e1c8,10,0.0,10
5946a5a7f810d5692243e2d3,9,0.0,8
5946a5a7f810d5692243e2d4,10,0.0,10
5946a5a7f810d5692243e2d6,10,0.0,11
5946a5a7f810d5692243e2d7,12,0.0,12
5946a5a7f810d5692243e2d8,12,0.0,12
5946a5a7f810d5692243e2d9,11,0.0,13
5946a5a7f810d5692243e2da,11,0.0,15
5946a5a7f810d5692243e2db,11,0.0,14
5946a5a7f810d5692243e2dc,12,0.0,12
5946a5a7f810d5692243e2dd,9,0.0,11
5946a5a7f810d5692243e2de,9,0.0,10
5946a5a7f810d5692243e2df,9,0.0,11
5946a5a7f810d5692243e2e0,9,0.0,10
5946a5a7f810d5692243e2e7,8,0.0,7
5946a5a7f810d5692243e2fd,12,0.0,3
5946a5a7f810d5692243e2fe,12,0.0,3
5946a5a7f810d5692243e2ff,11,0.0,5
5946a5a7f810d5692243e300,12,0.0,2
5946a5a7f810d5692243e301,9,0.0,4
5946a5a7f810d5692243e302,9,0.0,4
5946a5a7f810d5692243e304,11,0.0,2
5946a5a7f810d5692243e305,11,0.0,2
5946a5a7f810d5692243e306,10,0.0,4
5946a5a7f810d5692243e307,10,0.0,5
5946a5a7f810d5692243e308,10,0.0,4
5946a5a7f810d5692243e309,11,0.0,1
5946a5a7f810d5692243e30b,8,0.0,3
5946a5a7f810d5692243e30c,8,0.0,3
5946a5a7f810d5692243e30d,8,0.0,3
5946a5a7f810d5692243e312,9,0.0,0
5946a5a7f810d5692243e313,8,0.0,2
5946a5a7f810d5692243e314,10,0.0,1
5946a5a7f810d5692243e316,9,0.0,1
5946a5a7f810d5692243e317,9,0.0,1
5946a5a7f810d5692243e31c,8,0.0,1
