clique_id,numero_nodi,amicizie_mancanti,simmetrie_mancanti
5946a5b3f810d569224402b6,8,0.0,9
5946a5b3f810d569224402bb,8,0.0,9
5946a5b3f810d569224402be,8,0.0,13
5946a5b3f810d569224402c0,8,0.0,14
5946a5b3f810d569224402fa,8,0.0,10
5946a5b3f810d56922440330,8,0.0,16
5946a5b3f810d56922440331,8,0.0,14
5946a5b3f810d569224403b6,8,0.0,13
5946a5b3f810d569224403ba,8,0.0,13
5946a5b3f810d569224403bb,8,0.0,14
5946a5b3f810d569224403c2,8,0.0,13
5946a5b3f810d569224403c3,8,0.0,14
5946a5b3f810d569224403c4,8,0.0,11
5946a5b3f810d569224403c5,8,0.0,12
5946a5b3f810d569224403e3,8,0.0,13
5946a5b3f810d569224403e4,8,0.0,14
5946a5b3f810d56922440405,8,0.0,12
5946a5b3f810d56922440406,8,0.0,13
5946a5b3f810d5692244040e,8,0.0,13
5946a5b3f810d5692244040f,8,0.0,14
5946a5b3f810d56922440431,8,0.0,13
5946a5b3f810d56922440432,8,0.0,14
5946a5b3f810d569224404a9,8,0.0,9
5946a5b3f810d569224404ae,8,0.0,9
5946a5b3f810d569224404af,8,0.0,12
5946a5b3f810d569224404b0,8,0.0,12
5946a5b3f810d569224405b4,8,0.0,10
5946a5b3f810d569224405b6,8,0.0,10
5946a5b3f810d56922440656,8,0.0,11
5946a5b3f810d56922440658,8,0.0,15
5946a5b3f810d56922440662,8,0.0,11
5946a5b3f810d56922440666,8,0.0,11
5946a5b3f810d569224406aa,8,0.0,7
5946a5b3f810d569224406ac,8,0.0,7
5946a5b3f810d569224406ad,8,0.0,10
5946a5b3f810d56922440701,8,0.0,9
5946a5b3f810d56922440704,8,0.0,9
5946a5b4f810d56922440784,8,0.0,15
5946a5b4f810d56922440785,8,0.0,16
5946a5b4f810d56922440786,8,0.0,13
5946a5b4f810d56922440787,8,0.0,14
5946a5b4f810d56922440796,8,0.0,9
5946a5b4f810d56922440797,8,0.0,6
