clique_id, presenze massime_valore, presenze massime_count, numero_nodi, intrusi 
5946ab35f810d569224fc547,5,2,8,0
5946ae29f810d56922539890,6,1,8,0
5946a6c4f810d5692246e90c,6,4,8,0
5946ad03f810d56922517736,7,1,8,0
5946b038f810d5692255de49,6,1,8,0
5946a762f810d5692248ceb7,8,1,10,1
5946ae28f810d569225389f6,10,1,11,0
5946a6c4f810d5692246eb2f,8,1,10,0
5946ad06f810d569225198d7,8,2,8,0
5946a6c4f810d5692246ebc6,7,1,8,0
5946a7a4f810d569224917c7,5,2,8,0
5946acfff810d56922513d75,7,1,8,0
5946a6c7f810d5692246f4dc,9,1,9,0
5946ab35f810d569224fc35f,4,2,8,0
5946a761f810d5692248c542,8,1,9,0
5946a7b8f810d569224958d7,8,3,9,1
5946a602f810d5692244d016,8,1,9,0
5946aee8f810d56922548a6d,11,1,11,0
5946a6c4f810d5692246ec9c,7,1,9,0
5946ab35f810d569224fc4f9,4,3,8,0
5946ab35f810d569224fc51c,4,4,9,0
5946a6c7f810d5692246f2a3,10,1,10,0
5946a6c4f810d5692246e88b,8,1,10,0
5946aaf2f810d569224f949b,5,2,8,0
5946a5a7f810d5692243e3df,7,2,8,0
5946aa1ef810d569224e7b32,8,2,9,0
5946a761f810d5692248c771,8,1,9,0
5946acfef810d569225137db,7,3,8,0
5946ad00f810d5692251554c,7,3,8,0
5946a761f810d5692248c205,7,1,8,0
5946a761f810d5692248c286,7,2,9,0
5946a74af810d56922486ac1,5,1,8,0
5946b04df810d5692255eb9e,8,1,8,0
5946ae27f810d569225385ac,8,2,8,0
5946aef2f810d569225513cb,8,1,8,0
5946a762f810d5692248cda0,9,1,10,0
5946a8b6f810d569224b2806,8,3,8,0
5946a8fcf810d569224c312e,10,1,11,0
5946b00af810d5692255ce85,9,1,9,0
5946aa7bf810d569224f2a21,8,2,8,0
5946a992f810d569224d9c78,6,1,10,0
5946b009f810d5692255bf06,11,1,11,0
5946a588f810d5692243995f,3,1,8,0
5946a7a2f810d5692249055e,4,2,8,0
5946aef1f810d5692254ff30,8,1,8,0
5946a761f810d5692248c5ef,7,1,8,0
5946ad03f810d56922517730,9,2,9,0
5946a582f810d56922438184,4,2,8,0
5946ad0cf810d5692251f135,10,1,10,0
5946aee8f810d569225488fc,11,1,11,0
5946a7a2f810d5692249080b,4,3,8,0
5946a74af810d56922486a71,4,1,8,0
5946a7b8f810d56922494fd4,7,2,8,1
5946a8f6f810d569224bdaa9,8,2,9,0
5946a7a4f810d56922491790,4,2,8,1
5946ad05f810d56922518e09,10,1,11,0
5946ad96f810d5692252d06c,7,1,8,0
5946aee6f810d569225468b1,9,1,9,0
5946acd5f810d56922512583,10,1,10,0
5946ae72f810d5692253df26,5,2,8,0
5946aaf0f810d569224f934a,7,1,8,0
5946a7a2f810d569224906bf,5,1,9,0
5946a8b6f810d569224b28ef,8,3,8,0
5946b009f810d5692255b8f0,9,2,9,0
5946a6c4f810d5692246e932,7,1,8,0
5946ad03f810d569225178c5,8,2,9,0
5946a7b8f810d56922495726,7,3,9,1
5946a6bbf810d5692246d089,8,1,10,0
5946aeeaf810d5692254a7ef,9,1,10,0
5946b101f810d56922563934,5,1,8,0
5946a74af810d569224868c6,4,1,8,0
5946a6c4f810d5692246e939,8,1,10,0
5946a8b6f810d569224b2927,10,1,10,0
5946aee5f810d569225463dd,7,1,8,0
5946ac43f810d5692250b1cc,4,1,8,0
5946a6c4f810d5692246e8dc,8,1,10,0
5946a947f810d569224cc4a1,7,4,8,0
5946ad03f810d569225178b4,8,1,9,0
5946ad0df810d5692251fb05,9,2,10,0
5946a7a2f810d569224901a5,5,1,9,0
5946a74bf810d569224872f0,4,3,8,0
5946ad03f810d569225178cb,8,2,9,0
5946a6c7f810d5692246f260,10,1,10,0
5946b038f810d5692255de92,6,1,8,0
5946a6c4f810d5692246ed29,7,2,8,0
5946ad96f810d5692252ceac,8,1,8,0
5946a7a3f810d56922490d67,5,1,8,0
5946a761f810d5692248c2b7,7,1,8,0
5946a7a3f810d5692249132a,5,2,8,0
5946a6c4f810d5692246e940,8,1,9,0
5946ac75f810d5692250cccc,7,3,8,0
5946a6c4f810d5692246eb17,7,2,9,0
5946ab2ef810d569224fbb8e,10,2,10,0
5946a761f810d5692248c5e7,7,2,9,0
5946a761f810d5692248c781,7,1,8,0
5946a6c4f810d5692246eccd,6,3,8,0
5946b086f810d56922560855,6,1,8,0
5946ad07f810d5692251a8b5,8,1,8,0
5946a6c4f810d5692246eb1e,8,2,10,0
5946a7a2f810d56922490a68,5,1,9,0
5946a6c4f810d5692246ecef,6,1,8,0
5946a7a2f810d5692249067f,5,1,9,0
5946a89cf810d569224abdb2,5,3,8,0
5946a7a2f810d56922490717,5,1,9,0
5946a762f810d5692248ced8,8,1,10,0
5946a762f810d5692248ce59,7,1,9,0
5946a7a3f810d569224916a5,5,1,8,1
5946a5a7f810d5692243e3ae,10,1,12,0
5946a684f810d56922461c55,8,1,9,0
5946a63ff810d569224535f2,5,2,8,0
5946abdef810d56922506ede,8,1,8,0
5946a6c7f810d5692246f4d2,9,1,10,0
5946a6c4f810d5692246eb28,6,2,8,0
5946a6c4f810d5692246e715,9,1,10,0
5946a7a4f810d56922491729,6,1,8,0
5946afeff810d56922559b62,8,2,8,0
5946ad0cf810d5692251f604,11,1,11,0
5946aee5f810d569225464d0,8,1,9,0
5946a8f5f810d569224bd856,9,2,9,0
5946ad0cf810d5692251ecf8,8,4,8,0
5946ad5af810d56922529122,7,1,8,0
5946aee8f810d56922548d29,8,1,8,0
5946ad00f810d56922515521,10,2,10,0
5946a5b3f810d569224404ac,4,1,8,0
5946b009f810d5692255badc,8,3,8,0
