clique_id, presenze massime_valore, presenze massime_count, numero_nodi, intrusi 
5946a5f2f810d5692244a12d,7,9,8,0
5946a5f3f810d5692244a3f5,8,1,9,0
5946ad0cf810d5692251ec11,9,1,9,0
5946a8fcf810d569224c3968,8,2,8,0
5946a5f3f810d5692244a821,8,3,8,0
5946aee7f810d56922547746,8,1,8,0
5946acfef810d569225136a0,8,3,9,0
5946ad4ff810d5692252869c,9,4,9,0
5946ad0bf810d5692251eb1e,7,1,8,0
5946ad97f810d5692252db40,11,1,11,0
5946acfef810d56922513862,9,1,9,0
5946ad0df810d569225204a9,10,4,11,0
5946acb2f810d5692250ec81,8,2,9,0
5946ad0df810d5692251f90e,9,3,9,0
5946b008f810d5692255b5c7,7,1,8,1
5946a8fff810d569224c5b53,7,4,8,0
5946ad0df810d569225204c8,8,2,9,0
5946a7b7f810d5692249449c,7,3,8,1
5946ad9bf810d5692253073d,9,1,9,0
5946ae57f810d5692253c9b0,8,1,8,0
5946acfff810d56922513dc3,8,4,9,0
5946a5f3f810d5692244aca1,8,3,9,0
5946a8edf810d569224b84d1,10,2,10,0
5946aa6af810d569224f2099,10,3,10,0
5946ad98f810d5692252e980,9,4,11,0
5946ad9bf810d56922530730,9,2,10,0
5946a5f3f810d5692244aa38,8,9,9,0
5946a7b8f810d569224951e7,6,9,8,1
5946aef2f810d56922551115,9,3,9,0
5946ad02f810d569225167ca,11,1,11,0
5946ad04f810d56922518213,9,1,9,0
5946af0af810d5692255240f,10,3,10,0
5946ad08f810d5692251c186,9,1,10,0
5946aec6f810d5692254429b,9,10,11,0
5946ad06f810d5692251a323,9,1,10,0
5946b009f810d5692255bb85,9,3,9,0
5946a8fff810d569224c5c11,10,2,11,0
5946aee7f810d56922547fb5,7,4,8,0
5946a906f810d569224c7a66,9,2,9,0
5946a8f5f810d569224bcc60,8,2,8,0
5946aee8f810d56922548689,11,1,11,0
5946a83cf810d569224a46a0,9,1,9,0
5946aef0f810d5692254fa39,8,3,8,0
5946ad07f810d5692251a752,9,2,10,0
5946a5f3f810d5692244ab7c,9,4,10,0
5946a5f3f810d5692244a5fc,9,2,9,0
5946ad4ff810d56922527dcd,10,1,10,0
5946acfef810d569225136a8,9,1,9,0
5946abb7f810d56922504dfd,8,1,9,0
5946a8fbf810d569224c2ca0,10,6,11,0
5946ad00f810d56922514c05,8,1,9,0
5946ad03f810d56922517920,7,3,8,0
5946a5f3f810d5692244b029,10,1,10,0
5946aee8f810d569225488f4,8,1,8,0
5946b1caf810d5692256844f,8,3,9,0
5946aef2f810d56922550ae4,9,2,9,0
5946aef0f810d5692254fd9d,9,1,10,0
5946a8f2f810d569224bab3a,10,6,10,0
5946b009f810d5692255bf8a,8,4,9,0
5946a8b6f810d569224b26c0,8,4,9,0
5946ad05f810d56922518f46,11,3,12,0
5946a72cf810d5692247e60a,9,2,9,0
5946aea2f810d5692253f741,8,5,9,0
5946ad03f810d56922517d6e,11,1,11,0
5946a8fff810d569224c5be3,10,2,11,0
5946ad08f810d5692251c19c,10,1,10,0
5946adf0f810d569225356af,8,2,9,0
5946aac0f810d569224f655a,10,1,10,0
5946a8f1f810d569224b97c4,8,4,8,0
