com_id, Nodi, MassimaFreq, Conteggio, NumeroClique, intrusi
5a2aba0c5b73222015f8d96d,20,19,1,18,0
5a2abbe65b73222015f8ebef,17,16,1,10,0
5a29e2875b73222015f785b2,11,10,1,2,0
5a2abc7b5b73222015f8f280,16,13,1,11,0
5a2abb4e5b73222015f8e71f,14,12,1,5,0
5a29c7295b73222015f6f63c,13,13,1,3,0
5a2a49235b73222015f82fda,11,11,1,3,0
5a2abc215b73222015f8edf9,16,14,1,16,0
5a2ab1ef5b73222015f8a31a,10,8,1,3,0
5a312b8a5b7322713613d196,12,12,1,2,0
5a2abbed5b73222015f8ec36,28,26,1,33,0
5a2abb705b73222015f8e7bc,13,13,1,6,0
5a2a09db5b73222015f7d5d7,12,11,2,4,1
5a312b395b7322713613cdca,145,128,1,498,1
5a2abc295b73222015f8ee6d,18,16,3,11,0
5a3123fc5b7322713613be8f,143,130,1,458,1
5a2abc725b73222015f8f193,12,11,1,8,0
5a2ac27e5b73222015f916d0,24,23,1,25,0
5a2aacc95b73222015f8853f,10,7,2,4,0
5a2aab605b73222015f87f6b,18,15,1,9,0
5a2abbfa5b73222015f8eccc,14,13,2,8,0
5a2ab3de5b73222015f8b29e,13,11,2,5,0
5a2abcd55b73222015f8f4a6,10,10,1,2,0
5a2aa96c5b73222015f87aa9,16,15,1,11,0
5a312b7c5b7322713613d086,14,12,1,4,0
5a2abbc05b73222015f8ea99,23,20,1,25,0
5a2abc3a5b73222015f8ef07,12,11,1,5,0
5a2abc955b73222015f8f3e6,15,13,3,8,0
5a29e0a85b73222015f77feb,11,11,3,2,0
5a29e2875b73222015f785b5,11,10,1,2,0
5a2a8c565b73222015f866b6,10,9,2,2,0
5a2a177d5b73222015f7e921,10,10,1,2,0
5a29dc0d5b73222015f76f27,20,19,1,13,0
5a2ab4fc5b73222015f8ba50,11,8,2,4,0
5a29eb3b5b73222015f79f95,11,8,3,2,0
5a2a85775b73222015f86244,10,8,1,3,0
5a2a29d35b73222015f801a9,10,9,1,2,0
5a2a72cd5b73222015f85634,14,8,2,7,0
