clique,elem_max,conteggio,nodi,intrusi,amicizie mancanti,simmetrie mancanti
5946a5f3f810d5692244b006,10,2,10,0,0.0,10
5946a5f3f810d5692244b00c,10,2,10,0,0.0,1
5946a5f3f810d5692244b017,10,2,10,0,0.0,1
5946a5f3f810d5692244b02d,10,2,10,0,0.0,1
5946a5f3f810d5692244b02f,10,2,10,0,0.0,1
5946a5f3f810d5692244b051,10,2,10,0,0.0,9
5946a5f3f810d5692244b058,10,2,10,0,0.0,0
5946a5f4f810d5692244b0f3,10,2,10,0,0.0,0
5946a5f4f810d5692244b105,10,2,10,0,0.0,9
5946a5f4f810d5692244b10a,8,1,8,0,0.0,0
5946a5f4f810d5692244b115,10,2,10,0,0.0,0
5946a5f4f810d5692244b128,10,1,10,0,0.0,0
5946a5f4f810d5692244b152,10,2,10,0,0.0,9
5946a5f4f810d5692244b161,10,2,10,0,0.0,9
5946a5f4f810d5692244b163,10,2,10,0,0.0,1
5946a5f4f810d5692244b165,10,2,10,0,0.0,0
5946a675f810d56922460cd9,9,1,9,0,0.0,3
5946a6a2f810d56922465ccb,9,1,9,0,0.0,22
5946a6d3f810d56922471f58,8,1,8,0,0.0,0
5946a6dbf810d56922473380,10,1,10,0,0.0,0
5946a6dbf810d5692247339a,9,1,9,0,0.0,0
5946a72bf810d5692247dd4c,8,2,8,0,0.0,7
5946a72df810d5692247f290,8,3,8,0,0.0,5
5946a72df810d5692247f346,8,3,8,0,0.0,10
5946a72df810d5692247f428,9,3,9,0,0.0,12
5946a72df810d5692247f42d,9,3,9,0,0.0,4
5946a72df810d5692247f959,9,3,9,0,0.0,4
5946a72df810d5692247f965,9,3,9,0,0.0,4
5946a72df810d5692247f96b,9,3,9,0,0.0,11
5946a72ef810d5692247f9ac,9,3,9,0,0.0,11
5946a72ef810d5692247fb62,8,2,8,0,0.0,17
5946a72ef810d5692247fb7b,10,1,10,0,0.0,30
5946a72ff810d56922480c03,9,1,9,0,0.0,15
5946a72ff810d56922480c0e,9,2,9,0,0.0,19
5946a775f810d5692248dbce,10,1,10,0,0.0,4
5946a775f810d5692248dbd2,10,1,10,0,0.0,4
5946a775f810d5692248dbd6,10,1,10,0,0.0,4
5946a775f810d5692248dbe5,10,1,10,0,0.0,2
5946a790f810d5692248e7be,9,3,9,0,0.0,0
5946a790f810d5692248e7e1,10,1,10,0,0.0,3
5946a790f810d5692248e7e4,10,1,10,0,0.0,6
5946a790f810d5692248e812,8,1,8,0,0.0,3
5946a790f810d5692248e8b8,11,1,11,0,0.0,1
5946a790f810d5692248e901,9,2,9,0,0.0,2
5946a790f810d5692248e972,10,3,10,0,0.0,1
5946a790f810d5692248e985,9,1,9,0,0.0,0
5946a791f810d5692248eb6a,12,1,12,0,0.0,11
5946a791f810d5692248eb7b,11,1,11,0,0.0,13
5946a791f810d5692248ebce,12,1,12,0,0.0,13
5946a791f810d5692248ebe3,11,1,11,0,0.0,12
5946a797f810d5692248eef9,8,1,8,0,0.0,4
5946a797f810d5692248ef1e,11,1,11,0,0.0,1
5946a797f810d5692248ef20,11,1,11,0,0.0,1
